post_id,author,date,content,post_url,hashtags,source_account,is_repost,original_author
urn:li:activity:7339409375498842113,Denise M Roche,2025-06-15 22:28:49.454899,"Today we had an opportunity to appreciate the service of our Head of Department Professor Eric Raymond Igou. This is a selfless position in academia. It was clear to see how appreciated Eric is by the thoughtful gifts 🎁 our staff and faculty presented. Thank you Eric from your colleagues in Department of Psychology, University of Limerick",https://www.linkedin.com/feed/update/urn:li:activity:7339409375498842113,[],Denise M Roche,False,
urn:li:activity:7337913108788625408,Denise M Roche,2025-06-15 22:28:50.311439,"Opportunities for knowledge-sharing are very valuable in our everyday work lives. Was delighted to share and see how my colleagues across UL Campus use hashtag#Sharepoint to make their work more efficient, accessible  and inclusive 🙌",https://www.linkedin.com/feed/update/urn:li:activity:7337913108788625408,['hashtag#Sharepoint'],Denise M Roche,False,
urn:li:activity:7335784105881604101,Denise M Roche,2025-06-15 22:28:51.580057,"Great article, insightful 👏",https://www.linkedin.com/feed/update/urn:li:activity:7335784105881604101,[],Denise M Roche,False,
urn:li:activity:7339898779694718978,"Elaine L. Kinsella, PhD",2025-06-15 22:29:12.005765,The Irish Times view on Ireland’s research agenda: the vital role of innovationhttps://lnkd.in/eV4Rtd8c,https://www.linkedin.com/feed/update/urn:li:activity:7339898779694718978,[],"Elaine L. Kinsella, PhD",False,
urn:li:activity:7339897503783247872,"Elaine L. Kinsella, PhD",2025-06-15 22:29:12.064882,https://lnkd.in/ez6gPjiZ,https://www.linkedin.com/feed/update/urn:li:activity:7339897503783247872,[],"Elaine L. Kinsella, PhD",False,
